school_id,school_name,province,type,is_985,is_211,recruit_number,rank
201,北京体育大学,北京,体育类,否,是,601,279
312,山西农业大学,山西,农林类,否,否,1628,280
234,西安工业大学,陕西,理工类,否,否,1272,281
1206,湖州师范学院,浙江,综合类,否,否,778,282
386,东北石油大学,黑龙江,理工类,否,否,1283,283
1346,佛山大学,广东,理工类,否,否,772,284
1499,嘉兴大学,浙江,综合类,否,否,258,285
1024,浙江海洋大学,浙江,农林类,否,否,1065,286
211,西南科技大学,四川,理工类,否,否,1801,287
1012,海南师范大学,海南,师范类,否,否,1008,288
249,石家庄铁道大学,河北,理工类,否,否,1243,289
47,青海师范大学,青海,综合类,否,否,947,290
430,河北科技大学,河北,理工类,否,否,1623,292
455,安徽财经大学,安徽,财经类,否,否,1415,293
490,中南林业科技大学,湖南,农林类,否,否,1644,294
195,桂林电子科技大学,广西,理工类,否,否,2009,295
385,哈尔滨理工大学,黑龙江,理工类,否,否,1735,296
1391,成都大学,四川,综合类,否,否,924,297
265,甘肃农业大学,甘肃,农林类,否,否,1471,298
1408,东莞理工学院,广东,理工类,否,否,438,299
301,鲁东大学,山东,综合类,否,否,1096,300
1378,浙江科技大学,浙江,理工类,否,否,741,301
1013,重庆理工大学,重庆,理工类,否,否,1918,302
315,内蒙古师范大学,内蒙古,师范类,否,否,1585,303
335,沈阳化工大学,辽宁,理工类,否,否,1122,304
302,聊城大学,山东,综合类,否,否,1090,305
207,西南医科大学,四川,医药类,否,否,1158,306
299,山东建筑大学,山东,理工类,否,否,1186,307
281,宁夏医科大学,宁夏,医药类,否,否,1078,308
1017,东华理工大学,江西,理工类,否,否,1259,309
295,山东中医药大学,山东,医药类,否,否,1303,310
384,哈尔滨师范大学,黑龙江,师范类,否,否,1699,311
934,武汉轻工大学,湖北,理工类,否,否,1139,312
1018,赣南师范大学,江西,师范类,否,否,945,313
413,北京第二外国语学院,北京,语言类,否,否,578,314
85,长春工业大学,吉林,理工类,否,否,1305,315
46,西北政法大学,陕西,政法类,否,否,999,316
83,渤海大学,辽宁,综合类,否,否,1205,317
125,华北水利水电大学,河南,理工类,否,否,1020,318
1138,上海应用技术大学,上海,理工类,否,否,1403,319
79,西安石油大学,陕西,理工类,否,否,1748,320
1422,温州肯恩大学,浙江,综合类,否,否,0,321
308,山西师范大学,山西,师范类,否,否,1248,322
87,郑州轻工业大学,河南,理工类,否,否,1006,323
146,东北电力大学,吉林,理工类,否,否,1180,324
1091,滨州医学院,山东,医药类,否,否,790,325
577,贵州师范大学,贵州,师范类,否,否,1861,326
986,大连大学,辽宁,综合类,否,否,665,327
334,辽宁石油化工大学,辽宁,理工类,否,否,1203,328
224,西华师范大学,四川,师范类,否,否,1645,329
480,新疆医科大学,新疆,医药类,否,否,1686,330
938,北京农学院,北京,农林类,否,否,749,331
1244,南京工程学院,江苏,理工类,否,否,468,332
1027,安徽工程大学,安徽,理工类,否,否,958,333
