school_type,year,avg_total_score,record_count
普通院校,2024,304.25390904286735,32169
985&211,2024,324.6989607777405,2983
普通院校,,324.2631578947368,19
211,2022,318.5306197737334,8132
985&211,2022,331.55676442762535,2114
211,2024,313.2534913245874,9452
普通院校,2022,309.2530130427604,24228
985&211,2023,323.17441413753363,2603
985&211,,293.04,25
211,2023,310.78404781059646,8701
211,,337.3333333333333,3
普通院校,2023,302.6108750393453,25416
