school_id,school_name,year,avg_total_score,avg_politics_score,avg_english_score,avg_special_one_score,avg_special_two_score,major_count,province,type,is_985,is_211,rank
1039,中国科学院光电技术研究所,2024,295.6666666666667,37.333333333333336,37.333333333333336,56.5,56.5,6,四川,理工类,0,0,2000
1027,安徽工程大学,2022,294.02941176470586,39.3235294117647,40.64705882352941,63.3235294117647,57.411764705882355,34,安徽,理工类,0,0,333
601,中国科学院成都生物研究所,2023,277.6666666666667,38.0,38.0,57.0,57.0,9,四川,理工类,0,0,2000
791,中国航天科工集团第二研究院,2024,315.0,36.851851851851855,45.0,80.0,55.77777777777778,27,北京,理工类,0,0,2000
1094,山东非金属材料研究所,2024,290.0,37.0,37.0,56.0,56.0,1,山东,理工类,0,0,2000
1565,国家体育总局体育科学研究所,2024,331.2857142857143,54.42857142857143,52.285714285714285,179.85714285714286,0.0,7,北京,其他,0,0,2000
550,陕西科技大学,2024,303.3191489361702,40.06382978723404,40.8936170212766,67.55319148936171,59.148936170212764,47,陕西,理工类,0,0,155
991,伊犁师范大学,2024,314.7755102040816,43.51020408163265,44.204081632653065,70.75510204081633,61.16326530612245,49,新疆,师范类,0,0,645
450,中国矿业大学,2024,296.31538461538463,37.3,39.65384615384615,63.16153846153846,54.66923076923077,130,江苏,综合类,0,1,62
1010,桂林医学院,2024,289.265306122449,37.30612244897959,39.02040816326531,114.3061224489796,1.0408163265306123,49,广西,医药类,0,0,445
315,内蒙古师范大学,2024,324.56043956043953,43.24175824175824,44.45054945054945,81.75824175824175,53.62637362637363,91,内蒙古,师范类,0,0,303
83,渤海大学,2022,321.9866666666667,44.906666666666666,46.2,80.52,57.21333333333333,75,辽宁,综合类,0,0,317
814,中国舰船研究院,2024,320.0,35.72727272727273,35.72727272727273,54.09090909090909,54.09090909090909,11,北京,理工类,0,0,2000
59,安徽大学,2023,306.6611570247934,19.768595041322314,19.768595041322314,29.66115702479339,29.66115702479339,121,安徽,综合类,0,1,115
